Date,Year,Month,Observed_ET,valid_days,expected_days,coverage,Satellite_ET,Site,Product
2014-07-01,2014,7,86.65528075,31.0,31,1.0,48.0,BKC,SSEBOP_V61
2014-08-01,2014,8,67.060063119,31.0,31,1.0,51.0,BKC,SSEBOP_V61
2014-09-01,2014,9,76.191047846,30.0,30,1.0,76.0,BKC,SSEBOP_V61
2014-10-01,2014,10,67.910216507,31.0,31,1.0,62.0,BKC,SSEBOP_V61
2014-11-01,2014,11,34.207725768,30.0,30,1.0,29.0,BKC,SSEBOP_V61
2014-12-01,2014,12,22.385814336,31.0,31,1.0,19.0,BKC,SSEBOP_V61
2015-01-01,2015,1,22.543129795,31.0,31,1.0,21.0,BKC,SSEBOP_V61
2015-02-01,2015,2,-8.018500000000002e-05,28.0,28,1.0,30.0,BKC,SSEBOP_V61
2015-06-01,2015,6,38.442519223,30.0,30,1.0,18.0,BKC,SSEBOP_V61
2015-07-01,2015,7,97.611600547,31.0,31,1.0,41.0,BKC,SSEBOP_V61
2015-08-01,2015,8,96.460813484,31.0,31,1.0,76.0,BKC,SSEBOP_V61
2015-09-01,2015,9,76.674147938,30.0,30,1.0,63.0,BKC,SSEBOP_V61
2015-10-01,2015,10,38.222952457,31.0,31,1.0,41.0,BKC,SSEBOP_V61
2015-11-01,2015,11,30.269316677,30.0,30,1.0,26.0,BKC,SSEBOP_V61
2015-12-01,2015,12,12.173898088,31.0,31,1.0,17.0,BKC,SSEBOP_V61
2016-01-01,2016,1,16.562773690764967,31.0,31,1.0,13.0,BKC,SSEBOP_V61
2016-02-01,2016,2,13.475205029253758,29.0,29,1.0,21.0,BKC,SSEBOP_V61
