Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2016-07-01,183,19.2496375,0.731794219,1.8708742631133646,2016
2016-08-01,214,3.196624375,0.121522872,3.754802606999874,2016
2016-09-01,245,86.71950208,3.296728591,0.8375583216547966,2016
2016-10-01,275,21.18198288,0.805254261,0.16094249112938996,2016
2016-11-01,306,6.002695385,0.228198468,0.05021222968935035,2016
2016-12-01,336,3.641343542,0.138429316,0.032968935101962416,2016
2017-05-01,121,21.02838958,0.799415258,0.6359719656757079,2017
2017-06-01,152,-6.650693542,-0.252832766,0.7036952942144126,2017
2017-07-01,182,45.78800208,1.740676687,3.703097370453179,2017
2017-08-01,213,101.3291667,3.8521296,2.1318087761756033,2017
2017-09-01,244,62.72486667,2.384548531,1.1253707692958415,2017
2017-10-01,274,4.517860625,0.17175099,0.08981615246739239,2017
2017-11-01,305,4.951479583,0.188235448,0.04070840877830051,2017
2017-12-01,335,3.073435833,0.116839737,0.0628385092568351,2017
2018-01-01,1,18.18288188,0.698222575,0.040302052639162866,2018
2018-02-01,32,10.39595625,0.399204669,0.052328629135445226,2018
2018-03-01,60,6.219144583,0.238815121,0.12069089934811927,2018
2018-04-01,91,7.069745333,0.271478186,0.14266167818277609,2018
2018-05-01,121,8.313106667,0.319223255,0.2042657884885557,2018
2018-06-01,152,23.18236119,0.890202556,0.4139867814956233,2018
2018-07-01,182,27.39411083,1.051933721,2.9510608641430736,2018
2018-08-01,213,48.84475208,1.87563824,1.7735949426423758,2018
2018-09-01,244,49.53461875,1.902129117,0.4134622577112168,2018
2018-10-01,274,38.69445208,1.48586677,0.07897521827544551,2018
