Date,Year,Month,Observed_ET,valid_days,expected_days,coverage,Satellite_ET,Site,Product
2016-07-01,2016,7,9.205833715,31.0,31,1.0,7.0,JIT,SSEBOP_V61
2016-08-01,2016,8,58.949741245,31.0,31,1.0,40.0,JIT,SSEBOP_V61
2016-09-01,2016,9,63.611456183,30.0,30,1.0,56.0,JIT,SSEBOP_V61
2016-10-01,2016,10,16.827833347,31.0,31,1.0,31.0,JIT,SSEBOP_V61
2016-11-01,2016,11,5.487867555,30.0,30,1.0,17.0,JIT,SSEBOP_V61
2017-04-01,2017,4,6.5483749410000005,27.0,30,0.9,3.0,JIT,SSEBOP_V61
2017-05-01,2017,5,11.911944673999999,31.0,31,1.0,1.0,JIT,SSEBOP_V61
2017-06-01,2017,6,55.996897935999996,30.0,30,1.0,15.0,JIT,SSEBOP_V61
2017-07-01,2017,7,72.681992184,31.0,31,1.0,24.0,JIT,SSEBOP_V61
2017-08-01,2017,8,58.979710247,31.0,31,1.0,33.0,JIT,SSEBOP_V61
2017-09-01,2017,9,19.651407342,30.0,30,1.0,45.0,JIT,SSEBOP_V61
2017-10-01,2017,10,5.710416494,31.0,31,1.0,36.0,JIT,SSEBOP_V61
2017-11-01,2017,11,4.594668609,30.0,30,1.0,15.0,JIT,SSEBOP_V61
2017-12-01,2017,12,15.681807847,31.0,31,1.0,11.0,JIT,SSEBOP_V61
2018-01-01,2018,1,18.012463535,31.0,31,1.0,12.0,JIT,SSEBOP_V61
2018-02-01,2018,2,12.010615471,28.0,28,1.0,17.0,JIT,SSEBOP_V61
2018-03-01,2018,3,7.64806135,31.0,31,1.0,11.0,JIT,SSEBOP_V61
2018-04-01,2018,4,8.163777479,30.0,30,1.0,10.0,JIT,SSEBOP_V61
2018-05-01,2018,5,22.120654187,31.0,31,1.0,2.0,JIT,SSEBOP_V61
2018-06-01,2018,6,36.685722294,30.0,30,1.0,4.0,JIT,SSEBOP_V61
2018-07-01,2018,7,40.981666693,31.0,31,1.0,0.0,JIT,SSEBOP_V61
2018-08-01,2018,8,56.616516032,31.0,31,1.0,27.0,JIT,SSEBOP_V61
2018-09-01,2018,9,51.727450744,30.0,30,1.0,31.0,JIT,SSEBOP_V61
