Date,Year,Month,Observed_ET,valid_days,expected_days,coverage,Satellite_ET,Site,Product
2014-02-01,2014,2,38.732208581,28,28,1.0,66.0,KKM,SSEBOP_V61
2014-03-01,2014,3,75.86734349299999,31,31,1.0,93.0,KKM,SSEBOP_V61
2014-04-01,2014,4,84.059696992,30,30,1.0,123.0,KKM,SSEBOP_V61
2014-05-01,2014,5,77.220061996,31,31,1.0,129.0,KKM,SSEBOP_V61
2014-06-01,2014,6,84.66267723,30,30,1.0,130.0,KKM,SSEBOP_V61
2014-07-01,2014,7,95.548468432,31,31,1.0,111.0,KKM,SSEBOP_V61
2014-08-01,2014,8,127.81632790900001,31,31,1.0,46.0,KKM,SSEBOP_V61
2014-09-01,2014,9,105.253058155,30,30,1.0,99.0,KKM,SSEBOP_V61
2014-10-01,2014,10,79.98935581,31,31,1.0,106.0,KKM,SSEBOP_V61
2014-11-01,2014,11,41.960500414,30,30,1.0,76.0,KKM,SSEBOP_V61
2014-12-01,2014,12,33.167920403,31,31,1.0,57.0,KKM,SSEBOP_V61
2015-01-01,2015,1,38.523313017,31,31,1.0,59.0,KKM,SSEBOP_V61
2015-02-01,2015,2,49.250393825,28,28,1.0,70.0,KKM,SSEBOP_V61
2015-03-01,2015,3,72.849414913,31,31,1.0,100.0,KKM,SSEBOP_V61
2015-04-01,2015,4,85.398948714,30,30,1.0,124.0,KKM,SSEBOP_V61
2015-05-01,2015,5,80.526622367,31,31,1.0,130.0,KKM,SSEBOP_V61
2015-06-01,2015,6,76.048380785,30,30,1.0,134.0,KKM,SSEBOP_V61
2015-07-01,2015,7,120.127539106,31,31,1.0,95.0,KKM,SSEBOP_V61
2015-08-01,2015,8,108.457764293,31,31,1.0,76.0,KKM,SSEBOP_V61
2015-09-01,2015,9,100.924800729,30,30,1.0,86.0,KKM,SSEBOP_V61
2015-10-01,2015,10,70.246818563,31,31,1.0,105.0,KKM,SSEBOP_V61
2015-11-01,2015,11,44.238244373,30,30,1.0,74.0,KKM,SSEBOP_V61
2015-12-01,2015,12,23.884638552,31,31,1.0,53.0,KKM,SSEBOP_V61
2016-01-01,2016,1,22.799715342,31,31,1.0,55.0,KKM,SSEBOP_V61
2016-02-01,2016,2,24.926428438000002,29,29,1.0,63.0,KKM,SSEBOP_V61
2016-03-01,2016,3,47.860407426,31,31,1.0,87.0,KKM,SSEBOP_V61
2016-04-01,2016,4,37.47977588,30,30,1.0,94.0,KKM,SSEBOP_V61
2016-05-01,2016,5,66.986719021,31,31,1.0,101.0,KKM,SSEBOP_V61
2016-06-01,2016,6,94.570998987,30,30,1.0,121.0,KKM,SSEBOP_V61
2016-07-01,2016,7,106.641236937,31,31,1.0,107.0,KKM,SSEBOP_V61
2016-08-01,2016,8,117.289130209,31,31,1.0,69.0,KKM,SSEBOP_V61
2016-09-01,2016,9,100.675094546,30,30,1.0,40.0,KKM,SSEBOP_V61
2016-10-01,2016,10,74.26004222,31,31,1.0,106.0,KKM,SSEBOP_V61
2016-11-01,2016,11,42.669764581,30,30,1.0,74.0,KKM,SSEBOP_V61
2016-12-01,2016,12,24.013694125,31,31,1.0,54.0,KKM,SSEBOP_V61
