Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2016-07-01,183,73.71233542,2.802248143,3.9730747521389276,2016
2016-08-01,214,117.10475,4.451854176,5.993832374224439,2016
2016-09-01,245,104.9062917,3.988117584,5.265724053606391,2016
2016-10-01,275,77.972325,2.964195907,3.795431315666065,2016
2016-11-01,306,84.14390271,3.198814605,1.9088470347924158,2016
2017-06-01,152,110.8871604,4.21548629,1.5155411063460633,2017
2017-07-01,182,94.90688958,3.607980314,3.302605662611313,2017
2017-08-01,213,112.7662083,4.286920176,5.219687052886002,2017
2017-09-01,244,157.9201438,6.003492185,5.313171807210892,2017
2017-10-01,274,135.8189458,5.163293045,3.7022927863290533,2017
2017-11-01,305,82.28764544,3.128247129,1.8176505793235265,2017
2017-12-01,335,-24.77623542,-0.941893366,1.3855477678589523,2017
2018-01-01,1,28.28176042,1.086019461,1.7600848994334228,2018
2018-02-01,32,36.50960917,1.401968813,1.2381723005091771,2018
2018-03-01,60,43.15258175,1.657058927,0.4368443984276382,2018
2018-04-01,91,61.27815585,2.353080884,0.14300707316579064,2018
2018-05-01,121,56.43444813,2.167082531,0.04158286985784798,2018
2018-06-01,152,29.06762083,1.116196497,0.6537398650834803,2018
2018-07-01,182,134.9973333,5.183896936,4.98708688246552,2018
2018-08-01,213,125.9438542,4.836243381,4.156190130743198,2018
2018-09-01,244,73.23308333,2.81215004,4.808586684521288,2018
2018-10-01,274,112.1248708,4.305594489,3.0702418618602683,2018
2018-11-01,305,45.87446458,1.761579215,1.6094738079118542,2018
