Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2014-01-01,1,49.63224792,1.905878076,1.2319174624281004,2014
2014-02-01,32,48.45207583,1.860559474,1.7774266772903502,2014
2014-03-01,60,69.11416291,2.653983516,1.9215768144931644,2014
2014-04-01,91,78.99969167,3.033587772,0.9818199643632397,2014
2014-05-01,121,57.92516667,2.224326115,2.290232403902337,2014
2014-06-01,152,59.61508116,2.289218824,3.477469948120415,2014
2014-07-01,182,79.48021124,3.052039721,5.281964410096407,2014
2014-08-01,213,63.62086973,2.443041085,5.015649658162147,2014
2014-09-01,244,238.7735749,9.168904103,4.7136176261119545,2014
2014-10-01,274,103.7596609,3.984370469,4.554651794023812,2014
2014-11-01,305,86.89480971,3.336760266,2.991710160858929,2014
2014-12-01,335,46.99987588,1.804795003,1.2441028375178576,2014
2015-01-01,1,49.63224792,1.905878076,1.1466152791399509,2015
2015-02-01,32,48.45207583,1.860559474,1.61176155670546,2015
2015-03-01,60,69.11416291,2.653983516,1.5867598063778132,2015
2015-04-01,91,78.99969167,3.033587772,2.811352559365332,2015
2015-05-01,121,57.92516667,2.224326115,1.7979531199671328,2015
2015-06-01,152,59.61508116,2.289218824,3.312675654888153,2015
2015-07-01,182,79.48021124,3.052039721,4.3491535121575,2015
2015-08-01,213,63.62086973,2.443041085,4.938640922773629,2015
2015-09-01,244,238.7735749,9.168904103,4.438216786365956,2015
2015-10-01,274,103.7596609,3.984370469,4.200064914766699,2015
2015-11-01,305,86.89480971,3.336760266,3.3368469681590796,2015
2015-12-01,335,46.99987588,1.804795003,1.8242827209178358,2015
2016-01-01,1,40.25515919,1.545797915,0.9853417781414464,2016
2016-02-01,32,76.84885369,2.950995604,1.5993482200428843,2016
2016-03-01,61,80.50040004,3.091214966,2.2956756642088294,2016
