Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2014-01-01,1,49.63224792,1.905878076,1.6655890789593286,2014
2014-01-02,2,49.11327292,1.885949439,1.5544786699706492,2014
2014-01-03,3,51.8027626,1.989225829,1.4735809884314222,2014
2014-01-04,4,56.41114792,2.166187803,1.5509635136254474,2014
2014-01-05,5,48.88364447,1.877131707,1.372191336429296,2014
2014-01-06,6,48.23951373,1.85239709,1.3434350325312039,2014
2014-01-07,7,35.12800417,1.348915187,1.405166893165699,2014
2014-01-08,8,56.51013458,2.16998889,1.6793566791648118,2014
2014-01-09,9,49.42293396,1.897840421,1.4872269625357148,2014
2014-01-10,10,41.91028197,1.609354622,1.4651174808022915,2014
2014-01-11,11,39.56852708,1.519431246,1.4489780322806567,2014
2014-01-12,12,28.02724583,1.076246102,0.9955454486259896,2014
2014-01-13,13,34.861176,1.338668987,1.3446641262731873,2014
2014-01-14,14,47.06170313,1.807169169,1.3233935687082976,2014
2014-01-15,15,21.32563958,0.818904455,1.351642431387745,2014
2014-01-16,16,27.26775833,1.047081786,1.2582145613521334,2014
2014-01-17,17,40.59546042,1.55886548,1.4163079688501057,2014
2014-01-18,18,33.97550871,1.304659367,1.4035819680401573,2014
2014-01-19,19,42.89909583,1.647325069,1.428615375272102,2014
2014-01-20,20,34.23054374,1.314452711,1.4827869566943264,2014
2014-01-21,21,48.78418901,1.873312618,1.3704086078853095,2014
2014-01-22,22,39.78914146,1.527902836,1.4652436018518955,2014
2014-01-23,23,52.64948083,2.021739805,1.495716979404449,2014
2014-01-24,24,38.77931875,1.489125649,1.3906304288582305,2014
2014-01-25,25,44.83055313,1.72149302,1.423856949452329,2014
2014-01-26,26,59.43044292,2.282128716,1.4988239182002872,2014
2014-01-27,27,50.67204583,1.945806311,1.3379725913182483,2014
2014-01-28,28,37.21147083,1.428920297,1.0482217018989104,2014
2014-01-29,29,45.89511667,1.762372254,1.2731993065472125,2014
