Date,Year,Month,Observed_ET,valid_days,expected_days,coverage,Satellite_ET,Site,Product
2017-07-01,2017,7,107.112716163,31.0,31,1.0,66.0,SIT,SSEBOP_V61
2017-08-01,2017,8,108.470608188,31.0,31,1.0,80.0,SIT,SSEBOP_V61
2017-09-01,2017,9,115.17493528,30.0,30,1.0,93.0,SIT,SSEBOP_V61
2017-10-01,2017,10,96.547817425,31.0,31,1.0,76.0,SIT,SSEBOP_V61
2017-11-01,2017,11,49.519225624,30.0,30,1.0,42.0,SIT,SSEBOP_V61
2017-12-01,2017,12,20.109052077,31.0,31,1.0,43.0,SIT,SSEBOP_V61
2018-01-01,2018,1,40.123454959,31.0,31,1.0,58.0,SIT,SSEBOP_V61
2018-02-01,2018,2,48.077427216,28.0,28,1.0,68.0,SIT,SSEBOP_V61
2018-03-01,2018,3,64.012197455,31.0,31,1.0,81.0,SIT,SSEBOP_V61
2018-04-01,2018,4,82.538998743,30.0,30,1.0,69.0,SIT,SSEBOP_V61
2018-05-01,2018,5,45.2776081,31.0,31,1.0,69.0,SIT,SSEBOP_V61
2018-06-01,2018,6,59.345850272999996,30.0,30,1.0,53.0,SIT,SSEBOP_V61
2018-07-01,2018,7,115.024018878,31.0,31,1.0,49.0,SIT,SSEBOP_V61
2018-08-01,2018,8,116.355361909,31.0,31,1.0,80.0,SIT,SSEBOP_V61
2018-09-01,2018,9,111.953659989,30.0,30,1.0,91.0,SIT,SSEBOP_V61
2018-10-01,2018,10,85.860507478,31.0,31,1.0,81.0,SIT,SSEBOP_V61
