Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2016-01-01,1,29.99282064,1.140207069,0.2805357142857143,2016
2016-01-09,9,32.23212506,1.225336466,0.2717741935483871,2016
2016-01-17,17,29.4890806,1.121056888,0.5538997695852534,2016
2016-01-25,25,32.99929831,1.254501325,0.8064285714285714,2016
2016-02-02,33,40.16184667,1.526792763,0.8542165898617511,2016
2016-02-10,41,35.82425625,1.361894926,1.1324366359447005,2016
2016-02-18,49,49.77943958,1.892415175,0.8922177419354839,2016
2016-02-26,57,35.34425167,1.343647071,1.0205702764976956,2016
2016-03-05,65,47.78550625,1.816613806,1.5341071428571424,2016
2016-03-13,73,58.59945417,2.22771685,1.8283006912442392,2016
2016-03-21,81,65.71552646,2.498241454,1.8007085253456223,2016
2016-03-29,89,55.13351979,2.095955888,1.7093490783410135,2016
2016-04-06,97,77.34760417,2.94044652,0.846261520737327,2016
2016-04-14,105,94.18154375,3.580405567,0.1664458525345622,2016
2016-04-22,113,126.2291271,4.798726495,0.015725806451612902,2016
2016-04-30,121,106.9063625,4.064152277,0.595155529953917,2016
2016-05-08,129,124.9644771,4.750649561,0.8595737327188938,2016
2016-05-16,137,144.9315708,5.509718597,0.8909735023041475,2016
2016-05-24,145,155.7621375,5.921453419,2.024913594470046,2016
2016-06-01,153,182.1174938,6.923378642,1.5900230414746543,2016
2016-06-09,161,142.446,5.415227136,1.9947177419354838,2016
2016-06-17,169,154.3420625,5.867467848,3.2878744239631335,2016
2016-06-25,177,145.3837083,5.526907056,4.069677419354838,2016
2016-07-03,185,89.78391667,3.413225376,2.4698099078341014,2016
2016-07-11,193,137.8340833,5.239900512,2.238842165898617,2016
2016-07-19,201,106.1890417,4.036882608,3.2722983870967743,2016
2016-07-27,209,96.78094583,3.679224437,2.184723502304147,2016
2016-08-04,217,148.9105208,5.66098236,2.970247695852535,2016
2016-08-12,225,97.55110417,3.708502776,2.2654665898617505,2016
2016-08-20,233,123.4783542,4.694153112,2.9987039170506917,2016
2016-08-28,241,86.61193542,3.292639337,3.5703629032258064,2016
2016-09-05,249,149.7605458,5.69329691,3.781687788018433,2016
2016-09-13,257,68.27855625,2.595677594,2.965426267281106,2016
2016-09-21,265,65.30972083,2.482814347,2.7137154377880184,2016
2016-09-29,273,93.46214583,3.553056936,2.928271889400922,2016
2016-10-07,281,100.3333167,3.814271366,2.604032258064516,2016
2016-10-15,289,120.3162227,4.573941522,2.422073732718894,2016
2016-10-23,297,99.68164979,3.789497598,2.1636578341013823,2016
2016-10-31,305,64.94066667,2.468784384,1.1824827188940092,2016
2016-11-08,313,66.17141521,2.515572521,0.7076728110599078,2016
2016-11-16,321,54.76083994,2.081788091,0.5990207373271889,2016
2016-11-24,329,44.31237104,1.684579098,0.4415610599078341,2016
2016-12-02,337,-3.493064583,-0.132792343,0.19858294930875572,2016
2016-12-10,345,7.67733125,0.291861425,0.22230414746543775,2016
2016-12-18,353,26.63823375,1.012679094,0.22973502304147464,2016
2016-12-26,361,16.65235021,0.633055746,0.14121543778801843,2016
2017-01-01,1,21.98659583,0.835842427,0.18146313364055297,2017
2017-01-09,9,25.35698125,0.963970999,0.3093721198156682,2017
2017-01-17,17,15.51789488,0.589928292,0.39749999999999996,2017
2017-01-25,25,40.80725,1.551328416,0.8978801843317973,2017
2017-02-02,33,46.06987125,1.751392225,0.9836175115207373,2017
2017-02-10,41,44.18991229,1.679923706,1.1584158986175117,2017
2017-02-18,49,31.1051575,1.182493668,1.4668605990783408,2017
2017-02-26,57,62.50932083,2.376354341,1.0708352534562213,2017
2017-03-06,65,65.32589277,2.48342914,1.2311693548387095,2017
2017-03-14,73,87.90592708,3.341831724,1.3890668202764977,2017
2017-03-22,81,104.8361271,3.985450207,1.4043433179723501,2017
2017-03-30,89,131.1251313,4.98485299,0.9693375576036866,2017
2017-04-07,97,129.2307146,4.912834846,0.5901670506912441,2017
2017-04-15,105,125.1161458,4.7564154,0.57801267281106,2017
2017-04-23,113,103.5616875,3.937001112,0.31148041474654375,2017
2017-05-01,121,128.6437188,4.890519612,0.5027880184331798,2017
2017-05-09,129,110.9495625,4.217858568,0.6665437788018431,2017
2017-05-17,137,46.35742292,1.76232379,1.4723387096774192,2017
2017-05-25,145,85.5510875,3.252310142,2.3107949308755753,2017
2017-06-02,153,134.0708958,5.096839176,1.7886059907834102,2017
2017-06-10,161,191.5944833,7.283655878,1.8759677419354837,2017
2017-06-18,169,186.7644271,7.10003646,2.6959447004608297,2017
2017-06-26,177,155.5287708,5.912581752,3.2747119815668206,2017
2017-07-04,185,55.61027083,2.114080056,1.397010368663594,2017
2017-07-12,193,71.76133333,2.728078848,3.117776497695853,2017
2017-07-20,201,116.4733542,4.427851032,2.2863191244239633,2017
2017-07-28,209,103.6328125,3.939705,2.818070276497695,2017
2017-08-05,217,88.46527083,3.363095736,2.1845161290322577,2017
2017-08-13,225,85.95970833,3.267844272,3.5304089861751153,2017
2017-08-21,233,123.8842542,4.709583806,2.782390552995391,2017
2017-08-29,241,85.77053604,3.260652698,3.5337039170506914,2017
2017-09-06,249,134.1905313,5.101387236,3.860247695852535,2017
2017-09-14,257,90.2865625,3.43233396,3.156002304147466,2017
2017-09-22,265,69.83985,2.655031738,2.9364458525345616,2017
2017-09-30,273,97.01945833,3.688291728,2.923496543778802,2017
2017-10-08,281,116.3306979,4.422427812,2.689470046082949,2017
2017-10-16,289,117.7225354,4.475339906,1.834913594470046,2017
2017-10-24,297,99.445725,3.780528682,1.069861751152074,2017
2017-11-01,305,58.50619354,2.224171454,0.7277361751152073,2017
2017-11-09,313,50.30561994,1.912418448,0.6307718894009217,2017
2017-11-17,321,58.45687292,2.222296481,0.540426267281106,2017
2017-11-25,329,50.79004854,1.930834485,0.4666935483870968,2017
2017-12-03,337,42.6828,1.622629325,0.42432603686635945,2017
2017-12-11,345,35.63065417,1.354534949,0.35373271889400926,2017
2017-12-19,353,24.92383993,0.947504699,0.2741013824884793,2017
2017-12-27,361,29.65065688,1.127199372,0.24733294930875574,2017
