Date,Year,Month,Observed_ET,valid_days,expected_days,coverage,Satellite_ET,Site,Product
2016-01-01,2016,1,32.661461438,31,31,1.0,31.0,UIT,SSEBOP_V61
2016-02-01,2016,2,41.446645542,29,29,1.0,43.0,UIT,SSEBOP_V61
2016-03-01,2016,3,72.889425513,31,31,1.0,53.0,UIT,SSEBOP_V61
2016-04-01,2016,4,114.607272873,30,30,1.0,31.0,UIT,SSEBOP_V61
2016-05-01,2016,5,142.329799658,31,31,1.0,40.0,UIT,SSEBOP_V61
2016-06-01,2016,6,153.73438653,30,30,1.0,54.0,UIT,SSEBOP_V61
2016-07-01,2016,7,110.563773645,31,31,1.0,12.0,UIT,SSEBOP_V61
2016-08-01,2016,8,129.00604575,31,31,1.0,66.0,UIT,SSEBOP_V61
2016-09-01,2016,9,128.473264654,30,30,1.0,69.0,UIT,SSEBOP_V61
2016-10-01,2016,10,118.751412927,31,31,1.0,65.0,UIT,SSEBOP_V61
2016-11-01,2016,11,61.634495083,30,30,1.0,30.0,UIT,SSEBOP_V61
2016-12-01,2016,12,20.802583097,31,31,1.0,22.0,UIT,SSEBOP_V61
2017-01-01,2017,1,33.715666761,31,31,1.0,28.0,UIT,SSEBOP_V61
2017-02-01,2017,2,53.035157414,28,28,1.0,45.0,UIT,SSEBOP_V61
2017-03-01,2017,3,102.872151121,31,31,1.0,58.0,UIT,SSEBOP_V61
2017-04-01,2017,4,146.882175424,30,30,1.0,35.0,UIT,SSEBOP_V61
2017-05-01,2017,5,120.166619522,31,31,1.0,34.0,UIT,SSEBOP_V61
2017-06-01,2017,6,177.14314918,30,30,1.0,33.0,UIT,SSEBOP_V61
2017-07-01,2017,7,101.833868504,31,31,1.0,48.0,UIT,SSEBOP_V61
2017-08-01,2017,8,108.199871184,31,31,1.0,58.0,UIT,SSEBOP_V61
2017-09-01,2017,9,131.244516454,30,30,1.0,77.0,UIT,SSEBOP_V61
2017-10-01,2017,10,118.257669367,31,31,1.0,61.0,UIT,SSEBOP_V61
2017-11-01,2017,11,59.957009384,30,30,1.0,32.0,UIT,SSEBOP_V61
2017-12-01,2017,12,40.154044073,31,31,1.0,25.0,UIT,SSEBOP_V61
