Product,Series,Month,Z
ERA5-LAND,Observed,1,-0.8964984028719686
ERA5-LAND,Observed,2,-0.7879887528722718
ERA5-LAND,Observed,3,-0.530551829304725
ERA5-LAND,Observed,4,-0.1530350001792879
ERA5-LAND,Observed,5,-0.24525389712730786
ERA5-LAND,Observed,6,0.2581675198285843
ERA5-LAND,Observed,7,0.8222469658169109
ERA5-LAND,Observed,8,0.9011203084197681
ERA5-LAND,Observed,9,0.9368520568426122
ERA5-LAND,Observed,10,0.18530314252767088
ERA5-LAND,Observed,11,-0.3881888977105116
ERA5-LAND,Observed,12,-0.8173832031290683
ERA5-LAND,Product,1,-0.9344190231517999
ERA5-LAND,Product,2,-0.7419472358798893
ERA5-LAND,Product,3,-0.5419139228698107
ERA5-LAND,Product,4,-0.8096261183297839
ERA5-LAND,Product,5,-0.33845609343536576
ERA5-LAND,Product,6,0.47841217118186097
ERA5-LAND,Product,7,0.6554624230881744
ERA5-LAND,Product,8,0.8147454636152093
ERA5-LAND,Product,9,1.2401304223699003
ERA5-LAND,Product,10,0.684214602934799
ERA5-LAND,Product,11,-0.2797340734984971
ERA5-LAND,Product,12,-0.6241299041356367
FLDAS,Observed,1,-0.8989170141932513
FLDAS,Observed,2,-0.8717225814377954
FLDAS,Observed,3,-0.6978989342100816
FLDAS,Observed,4,-0.38001056353719154
FLDAS,Observed,5,-0.3705500663098391
FLDAS,Observed,6,-0.327428150461146
FLDAS,Observed,7,0.9177707843241392
FLDAS,Observed,8,0.8596374000661335
FLDAS,Observed,9,0.8770620238114091
FLDAS,Observed,10,0.5394916778205465
FLDAS,Observed,11,0.052858841770071704
FLDAS,Observed,12,-0.6928260821797656
FLDAS,Product,1,-0.8826346587886182
FLDAS,Product,2,-0.8528014352772068
FLDAS,Product,3,-0.8039343332703888
FLDAS,Product,4,-0.8633158829221326
FLDAS,Product,5,-0.4746387624824385
FLDAS,Product,6,0.21528747681364274
FLDAS,Product,7,0.8772120378683269
FLDAS,Product,8,1.3927779766775616
