Site,Product,N,RMSE,MAE,ABS_BIAS,CORRELATION,R2
BFT,ERA5-LAND,807,3.838935060400444,3.064903527558035,3.038849315841977,0.8076528491079927,0.652303124672258
BFT,FLDAS,27,3.122393493399965,2.553168693426943,2.382901206441475,0.8088802188099533,0.6542872083820379
BFT,GLDAS,807,3.4791741862689824,2.912117159110096,2.9094837129926936,0.8184918479655631,0.6699289051860824
BFT,MERRA2,807,3.604985715151451,3.126059491955707,3.1045548323038363,0.7983834836958922,0.637416187038389
BFT,MOD16A2GF,102,12.144077930932124,7.598480504445577,6.187819701855263,0.8311495677560969,0.6908096039811468
BFT,PMLV2,102,3.9727799137261695,3.2441871061777543,3.218300195051797,0.7030000129703934,0.4942090182363732
BIT,ERA5-LAND,511,1.1787580626516303,0.937202167874636,0.487376541659883,0.5380166495806535,0.2894619152259917
BIT,FLDAS,17,1.067506344798148,0.8470439656653136,0.1576998078244743,0.5657862635255951,0.3201140959942541
BIT,GLDAS,511,1.2381094161784485,0.9973361584067414,0.0862398572479799,0.5207915976560316,0.2712238881891218
BIT,MERRA2,511,1.3357422032780926,1.0853209014350542,0.7122871718970547,0.6215254302777359,0.3862938604819247
BIT,MOD16A2GF,64,11.760391513725631,9.969757052600023,9.969757052600023,0.636799066306844,0.4055130508492683
BIT,PMLV2,64,1.035956005422548,0.8468665502479423,0.012899291783012,0.3790595113014545,0.1436861131080975
BKC,ERA5-LAND,565,1.2364167902584404,1.0224192581057627,0.9102856714483388,0.7637381553723546,0.5832959699715669
BKC,FLDAS,19,1.3421810006870452,0.9488106775019862,0.8685385925288046,0.8075180508210746,0.6520854024018676
BKC,GLDAS,565,0.757812449115373,0.5610801151574362,0.2692962672842316,0.8095816796496278,0.6554224960243126
BKC,MERRA2,565,1.5188322579550486,1.1155708851794794,0.8584131862641974,0.7893198008303154,0.6230257479828087
BKC,MOD16A2GF,71,6.103511132308859,3.9670993677794537,3.7071913135704624,0.6309743424600482,0.3981286208428902
BKC,PMLV2,71,0.810681565547947,0.619607034822649,0.3580243795727475,0.7995813771331548,0.6393303786581523
BKC,SSEBOP_V61,17,20.40045710995366,13.829557311265363,8.520377945295218,0.8191021513519279,0.6709283343493566
DIT,ERA5-LAND,731,0.9448711805222888,0.7546043981555327,0.3010102073993027,0.7275672826113208,0.5293541507264214
DIT,FLDAS,24,1.1969730558987646,0.971233370208052,0.8764848166498406,0.8502337092360601,0.7228973603213092
DIT,GLDAS,731,1.0919848690151894,0.828307116035153,0.0360621281371469,0.6681656437217577,0.4464453274501108
DIT,MERRA2,731,1.141757450331345,0.948762355721126,0.497143979117646,0.7846209983013125,0.6156301109753483
DIT,MOD16A2GF,92,15.12425338178868,11.775218284941898,11.758743159236564,0.6696991224957962,0.4484969146716395
DIT,PMLV2,92,1.1418194218322235,0.8852357160989738,0.517562548347556,0.5763904917201411,0.332225998945386
JIT,ERA5-LAND,740,1.0254711019071523,0.6616156816420021,0.3172342023568907,0.5524677282691064,0.3052205907788272
JIT,FLDAS,24,1.2749045450615577,0.8851783978241669,0.0859754256638414,0.3284860916077098,0.1079031123797087
JIT,GLDAS,740,1.0801467839742402,0.6894582577275419,0.5783935937531046,0.4291342951055917,0.184156243235773
JIT,MERRA2,740,0.9421806016834192,0.6373432537842774,0.0788697622748067,0.5875688577095007,0.3452371625500475
JIT,MOD16A2GF,93,1.2030258691027067,0.7517081258744687,0.0354102603575894,0.4519434141109354,0.2042528495582485
JIT,PMLV2,93,1.079468590808753,0.71933228768879,0.3869513875256458,0.5368778746185859,0.28823785225497
JIT,SSEBOP_V61,23,22.68678179166592,18.07032977434783,9.208994787130436,0.4525268388124046,0.204780539845548
KKM,ERA5-LAND,1081,0.8328392038232643,0.6141825708856608,0.1323192665923981,0.7524124567495555,0.5661245050719017
KKM,FLDAS,35,1.639548110838985,1.465113492639115,1.31353635649375,0.7032312331353265,0.494534167257032
KKM,GLDAS,1081,1.4534672851151589,1.158143358483268,1.1014059497139874,0.6548922774269373,0.4288838950334406
KKM,MERRA2,1081,1.1044850821398926,0.798339685007795,0.153240608130036,0.7533046485212145,0.5674678934836704
KKM,MOD16A2GF,136,11.122313845962545,9.231423142571696,8.604679451013414,0.4216665322137022,0.1778026643891291
KKM,PMLV2,136,1.156468604212639,0.845313459524661,0.0197339918340124,0.599376809558723,0.3592525598367936
KKM,SSEBOP_V61,35,37.17405837083976,33.63314067228571,18.23064267531429,0.3629752319260084,0.1317510189917396
KNP,ERA5-LAND,1027,0.9333646323191488,0.7588610023215911,0.3495306149427419,0.7611588716694767,0.5793628279211509
KNP,FLDAS,34,1.8285768315248747,1.383228599905136,1.282045063730025,0.5059765678420164,0.2560122872051866
KNP,GLDAS,1027,1.4925319043481913,1.2306466650869827,0.9230876995278644,0.6763649822555945,0.4574695892216106
KNP,MERRA2,1027,1.601217761920593,1.2114265224671728,0.7588026201890439,0.4935993840066851,0.243640351891779
KNP,MOD16A2GF,130,18.62263621190665,16.791705891765222,16.791705891765222,0.4664835748827014,0.2176069256353449
KNP,PMLV2,130,1.239693141499793,0.8832161741723645,0.4109301778266622,0.5422386145011627,0.2940227150561406
NIT,ERA5-LAND,699,1.3183114819226822,0.975792275762997,0.584353624796841,0.6120920122197637,0.3746566314232394
NIT,FLDAS,23,1.3729824115363234,1.1719966892911935,0.2370091432620205,0.6999281233376693,0.4898993778389916
NIT,GLDAS,699,1.4640996009153655,1.0954573855047454,0.613959511240503,0.4963051191423333,0.2463187712868856
NIT,MERRA2,699,1.611809294680431,1.323955566291712,0.5895841210420285,0.6323790747493192,0.399903294180805
NIT,MOD16A2GF,88,13.56798417700847,10.062879849174148,9.640008447432429,0.6519939882027642,0.4250961606525462
NIT,PMLV2,88,1.2719280889567874,1.005779790634609,0.590626781034145,0.6056067994727262,0.3667595955675988
PVM,MERRA2,92,2.6769233562342825,2.4453542550786747,2.42948883436552,0.1497428570050012,0.0224229232240202
PVM,MOD16A2GF,11,20.440765065103832,20.20821387079591,20.20821387079591,0.0550975802217329,0.0030357433462903
PVM,PMLV2,11,1.2195922703095663,1.036023429825658,0.8748394097619019,0.1134691879610076,0.0128752566165304
SFT,ERA5-LAND,821,1.636773109923774,1.21716308178781,0.1720904073029811,0.4080340429914303,0.1664917802399324
SFT,FLDAS,27,1.6665496455235382,1.1386270653181338,0.2735595596908735,0.5128351810690291,0.2629999229421039
SFT,GLDAS,821,1.495800895808959,1.174845819245231,0.0602985096106328,0.590930031802187,0.3491983024857337
SFT,MERRA2,821,1.6217416366899244,1.2232772731310726,0.5857902306273325,0.5819872507561156,0.3387091600426617
SFT,PMLV2,104,1.8647748714796264,1.2581465372072458,0.7379924109997952,0.3234485951406897,0.1046189936984858
SIT,ERA5-LAND,545,1.0420024905881728,0.7759023386611017,0.099567777288178,0.6439709537533308,0.4146985892779745
SIT,FLDAS,18,1.2827366713628547,1.041621000106426,0.4709043081732145,0.66444036862907,0.4414810034639344
SIT,GLDAS,545,1.006096524787383,0.7570388215044684,0.0675344121035916,0.6823633461010206,0.4656197361021811
SIT,MERRA2,545,1.295439519949547,0.9979229433173332,0.3756365823988675,0.6758063124778847,0.4567141719849563
SIT,MOD16A2GF,70,10.84876605609272,8.329244950279625,8.262487873702142,0.6597761486615882,0.4353045663427181
SIT,PMLV2,70,1.1674231643928,0.7998858520809524,0.0739073943857141,0.5613882379225522,0.3151567536777881
SIT,SSEBOP_V61,16,27.30643349087205,23.0814975089375,10.4064649848125,0.6002576489582637,0.3603092451329022
UIT,ERA5-LAND,731,2.01538740362156,1.389623477950671,1.2799650221933914,0.4290606988579148,0.1840930833044422
UIT,FLDAS,24,2.2751333216161336,1.6744000398378371,1.0783853751012449,0.2045299710465456,0.0418325090563007
UIT,GLDAS,731,2.787701345855444,2.1902476317668373,2.146251460292562,0.1952055919114521,0.0381052231135003
UIT,MERRA2,731,2.390241470033389,1.826665483380164,1.2812640277699583,0.3837869241552388,0.147292403152539
UIT,MOD16A2GF,92,7.516791194158329,5.227670395631111,2.907992677129664,0.1090787594275533,0.011898175758254
UIT,PMLV2,92,2.1580616626965843,1.6623308271084951,1.6036168433880984,0.5345640282953537,0.2857587003473557
UIT,SSEBOP_V61,24,65.9554363641383,53.161000325833335,52.931769379083335,0.4167471953436704,0.1736782248268153
