Site,Site_Product_Combinations,Eligible_Combinations,Eligibility_Rate,Min_N,Median_N,Max_N,N_lt_5,N_5_to_9,N_10_to_19,N_ge_20,Median_RMSE_Eligible,Median_MAE_Eligible,Median_Abs_BIAS_Eligible,Median_CORRELATION_Eligible,Median_R2_Eligible
BFT,6,6,1.0,12,206.0,366,0,0,1,5,3.746187468045077,3.1824941149207735,3.1546629636948156,0.787265840992698,0.619788094167058
BIT,6,5,0.8333333333333334,7,118.0,210,0,1,0,5,1.122144213775877,0.9033468670139853,0.5308118265348024,0.3686452114637313,0.1358992919351391
BKC,6,3,0.5,3,36.0,64,1,2,0,3,0.2848221289292597,0.2454565465851033,0.2317611506830358,0.6326034005398137,0.4001870623745359
DIT,6,6,1.0,12,206.0,366,0,0,1,5,1.1639027632587808,0.8723850354567202,0.43641531295750113,0.7369181833064288,0.5437187516873314
JIT,6,5,0.8333333333333334,6,103.5,184,0,1,0,5,0.9241949941538192,0.602659548841254,0.2712906030333671,0.6451781895652398,0.4162548962906804
KKM,6,6,1.0,12,206.0,366,0,0,1,5,1.443221367955191,1.1255555842319267,0.651800120859805,0.7458202083608522,0.5562483036481269
KNP,6,6,1.0,12,206.0,366,0,0,1,5,1.4568327186771717,1.0955732468053891,0.663486884177032,0.591264612881609,0.3530699433365052
NIT,6,5,0.8333333333333334,5,90.0,160,0,1,0,5,1.2427732731168977,1.018460106223168,0.8355692679593139,0.6483885465926831,0.4204077073525719
SFT,5,4,0.8,3,91.0,91,1,0,1,3,1.3526203805668802,1.0095044432271671,0.40561020996760466,0.009789584266958199,0.00399548300494635
SIT,5,3,0.6,2,10.0,10,2,0,3,0,0.7409452969828532,0.6120104379939826,0.2698776859328846,0.9158478624352268,0.838777307127174
UIT,6,6,1.0,12,206.0,366,0,0,1,5,2.2335068850771616,1.6515579977341117,1.3918566773873575,0.4185549173245324,0.17902600290009155
