Site,Product,SITE_MEAN_RANK
BFT,ERA5-LAND,4.0
BFT,FLDAS,1.0
BFT,GLDAS,2.0
BFT,MERRA2,3.8
BFT,MOD16A2GF,4.8
BFT,PMLV2,5.4
BIT,ERA5-LAND,2.2
BIT,GLDAS,3.2
BIT,MERRA2,3.2
BIT,MOD16A2GF,5.0
BIT,PMLV2,1.4
BKC,ERA5-LAND,2.6
BKC,GLDAS,1.8
BKC,MERRA2,1.6
DIT,ERA5-LAND,2.0
DIT,FLDAS,3.8
DIT,GLDAS,3.4
DIT,MERRA2,1.8
DIT,MOD16A2GF,5.2
DIT,PMLV2,4.8
JIT,ERA5-LAND,3.8
JIT,GLDAS,4.6
JIT,MERRA2,3.0
JIT,MOD16A2GF,2.4
JIT,PMLV2,1.2
KKM,ERA5-LAND,2.6
KKM,FLDAS,3.2
KKM,GLDAS,4.6
KKM,MERRA2,2.0
KKM,MOD16A2GF,4.8
KKM,PMLV2,3.8
KNP,ERA5-LAND,1.0
KNP,FLDAS,5.4
KNP,GLDAS,2.2
KNP,MERRA2,3.4
KNP,MOD16A2GF,5.6
KNP,PMLV2,3.4
NIT,ERA5-LAND,1.8
NIT,GLDAS,4.0
NIT,MERRA2,1.6
NIT,MOD16A2GF,3.8
NIT,PMLV2,3.8
SFT,ERA5-LAND,2.2
SFT,GLDAS,2.2
SFT,MERRA2,2.8
SFT,PMLV2,2.8
SIT,ERA5-LAND,1.4
SIT,GLDAS,2.2
SIT,MERRA2,2.4
UIT,ERA5-LAND,2.2
UIT,FLDAS,3.4
UIT,GLDAS,4.8
UIT,MERRA2,2.6
UIT,MOD16A2GF,5.8
UIT,PMLV2,2.2
