Site,Metric,Winner,Value
BFT,RMSE,FLDAS,2.480923524235043
BFT,MAE,FLDAS,2.099153564770229
BFT,ABS_BIAS,FLDAS,2.054316493106876
BFT,CORRELATION,FLDAS,0.8382796455692486
BFT,R2,FLDAS,0.702712764175705
BIT,RMSE,PMLV2,0.6923890285229335
BIT,MAE,PMLV2,0.6106183976632499
BIT,ABS_BIAS,ERA5-LAND,0.0839003078736323
BIT,CORRELATION,PMLV2,0.7855500745967098
BIT,R2,PMLV2,0.6170889196988963
BKC,RMSE,GLDAS,0.2118206095578638
BKC,MAE,GLDAS,0.1710703499304922
BKC,ABS_BIAS,GLDAS,0.0572437924595083
BKC,CORRELATION,MERRA2,0.8053350717566902
BKC,R2,MERRA2,0.6485645778013533
DIT,RMSE,ERA5-LAND,0.9397425344554834
DIT,MAE,ERA5-LAND,0.7657116417456553
DIT,ABS_BIAS,GLDAS,0.1265307888718922
DIT,CORRELATION,MERRA2,0.8608978852759985
DIT,R2,MERRA2,0.7411451688726863
JIT,RMSE,PMLV2,0.6624732480728956
JIT,MAE,PMLV2,0.5076926072743628
JIT,ABS_BIAS,ERA5-LAND,0.1789489578619559
JIT,CORRELATION,PMLV2,0.7656334919041933
JIT,R2,PMLV2,0.5861946439254084
KKM,RMSE,ERA5-LAND,0.8944921597154282
KKM,MAE,ERA5-LAND,0.644633605742889
KKM,ABS_BIAS,PMLV2,0.0374721116251066
KKM,CORRELATION,FLDAS,0.7945078218008467
KKM,R2,FLDAS,0.6312426789027259
KNP,RMSE,ERA5-LAND,0.8565687825617306
KNP,MAE,ERA5-LAND,0.6902435583596472
KNP,ABS_BIAS,ERA5-LAND,0.0469963592223615
KNP,CORRELATION,ERA5-LAND,0.7940044687936673
KNP,R2,ERA5-LAND,0.6304430964643137
NIT,RMSE,ERA5-LAND,0.9695725762656984
NIT,MAE,ERA5-LAND,0.7937121053809362
NIT,ABS_BIAS,ERA5-LAND,0.3682149077153972
NIT,CORRELATION,MERRA2,0.6573444513096544
NIT,R2,MERRA2,0.4321017276675905
SFT,RMSE,GLDAS,1.0290785688403978
SFT,MAE,GLDAS,0.7918359039469874
SFT,ABS_BIAS,PMLV2,0.1440497739555651
SFT,CORRELATION,MERRA2,0.12296988677491
SFT,R2,MERRA2,0.0151215930534341
SIT,RMSE,ERA5-LAND,0.5098685859311499
SIT,MAE,ERA5-LAND,0.4736755872746494
SIT,ABS_BIAS,MERRA2,0.1952516325418528
SIT,CORRELATION,ERA5-LAND,0.9775189799344296
SIT,R2,ERA5-LAND,0.9555433561320478
UIT,RMSE,ERA5-LAND,1.964538216293517
UIT,MAE,ERA5-LAND,1.3809348576948484
UIT,ABS_BIAS,FLDAS,1.1828543169095111
UIT,CORRELATION,PMLV2,0.5849868826273115
UIT,R2,PMLV2,0.3422096528460199
