Year,Month,Version,Archive,Member
2014,1,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201401/m201401_viirsSSEBopETv61_actual_mm.tif
2014,2,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201402/m201402_viirsSSEBopETv61_actual_mm.tif
2014,3,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201403/m201403_viirsSSEBopETv61_actual_mm.tif
2014,4,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201404/m201404_viirsSSEBopETv61_actual_mm.tif
2014,5,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201405/m201405_viirsSSEBopETv61_actual_mm.tif
2014,6,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201406/m201406_viirsSSEBopETv61_actual_mm.tif
2014,7,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201407/m201407_viirsSSEBopETv61_actual_mm.tif
2014,8,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201408/m201408_viirsSSEBopETv61_actual_mm.tif
2014,9,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201409/m201409_viirsSSEBopETv61_actual_mm.tif
2014,10,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201410/m201410_viirsSSEBopETv61_actual_mm.tif
2014,11,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201411/m201411_viirsSSEBopETv61_actual_mm.tif
2014,12,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2014/m201412/m201412_viirsSSEBopETv61_actual_mm.tif
2015,1,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201501/m201501_viirsSSEBopETv61_actual_mm.tif
2015,2,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201502/m201502_viirsSSEBopETv61_actual_mm.tif
2015,3,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201503/m201503_viirsSSEBopETv61_actual_mm.tif
2015,4,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201504/m201504_viirsSSEBopETv61_actual_mm.tif
2015,5,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201505/m201505_viirsSSEBopETv61_actual_mm.tif
2015,6,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201506/m201506_viirsSSEBopETv61_actual_mm.tif
2015,7,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201507/m201507_viirsSSEBopETv61_actual_mm.tif
2015,8,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201508/m201508_viirsSSEBopETv61_actual_mm.tif
2015,9,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201509/m201509_viirsSSEBopETv61_actual_mm.tif
2015,10,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201510/m201510_viirsSSEBopETv61_actual_mm.tif
2015,11,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201511/m201511_viirsSSEBopETv61_actual_mm.tif
2015,12,6.1,data\raw\ssebop\SSEBop Data (2014 & 2015).zip,SSEBop Data (2014 & 2015)/2015/m201512/m201512_viirsSSEBopETv61_actual_mm.tif
2016,1,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201601/m201601_viirsSSEBopETv61_actual_mm.tif"
2016,2,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201602/m201602_viirsSSEBopETv61_actual_mm.tif"
2016,3,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201603/m201603_viirsSSEBopETv61_actual_mm.tif"
2016,4,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201604/m201604_viirsSSEBopETv61_actual_mm.tif"
2016,5,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201605/m201605_viirsSSEBopETv61_actual_mm.tif"
2016,6,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201606/m201606_viirsSSEBopETv61_actual_mm.tif"
2016,7,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201607/m201607_viirsSSEBopETv61_actual_mm.tif"
2016,8,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201608/m201608_viirsSSEBopETv61_actual_mm.tif"
2016,9,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201609/m201609_viirsSSEBopETv61_actual_mm.tif"
2016,10,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201610/m201610_viirsSSEBopETv61_actual_mm.tif"
2016,11,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201611/m201611_viirsSSEBopETv61_actual_mm.tif"
2016,12,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2016/m201612/m201612_viirsSSEBopETv61_actual_mm.tif"
2017,1,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201701/m201701_viirsSSEBopETv61_actual_mm.tif"
2017,2,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201702/m201702_viirsSSEBopETv61_actual_mm.tif"
2017,3,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201703/m201703_viirsSSEBopETv61_actual_mm.tif"
2017,4,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201704/m201704_viirsSSEBopETv61_actual_mm.tif"
2017,5,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201705/m201705_viirsSSEBopETv61_actual_mm.tif"
2017,6,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201706/m201706_viirsSSEBopETv61_actual_mm.tif"
2017,7,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201707/m201707_viirsSSEBopETv61_actual_mm.tif"
2017,8,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201708/m201708_viirsSSEBopETv61_actual_mm.tif"
2017,9,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201709/m201709_viirsSSEBopETv61_actual_mm.tif"
2017,10,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201710/m201710_viirsSSEBopETv61_actual_mm.tif"
2017,11,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201711/m201711_viirsSSEBopETv61_actual_mm.tif"
2017,12,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2017/m201712/m201712_viirsSSEBopETv61_actual_mm.tif"
2018,1,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2018/m201801/m201801_viirsSSEBopETv61_actual_mm.tif"
2018,2,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2018/m201802/m201802_viirsSSEBopETv61_actual_mm.tif"
2018,3,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2018/m201803/m201803_viirsSSEBopETv61_actual_mm.tif"
2018,4,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2018/m201804/m201804_viirsSSEBopETv61_actual_mm.tif"
2018,5,6.1,"data\raw\ssebop\SSEBop Data (2016, 2017, 2018).zip","SSEBop Data (2016, 2017, 2018)/2018/m201805/m201805_viirsSSEBopETv61_actual_mm.tif"
