Product,Site,Year,N,N_CATEGORY,STATUS
ERA5-LAND,BFT,2016,366,STRONG,BENCHMARKED
ERA5-LAND,BFT,2017,143,STRONG,BENCHMARKED
ERA5-LAND,BFT,2018,298,STRONG,BENCHMARKED
ERA5-LAND,BIT,2016,210,STRONG,BENCHMARKED
ERA5-LAND,BIT,2017,301,STRONG,BENCHMARKED
ERA5-LAND,BKC,2014,204,STRONG,BENCHMARKED
ERA5-LAND,BKC,2015,297,STRONG,BENCHMARKED
ERA5-LAND,BKC,2016,64,STRONG,BENCHMARKED
ERA5-LAND,DIT,2016,366,STRONG,BENCHMARKED
ERA5-LAND,DIT,2017,365,STRONG,BENCHMARKED
ERA5-LAND,JIT,2016,184,STRONG,BENCHMARKED
ERA5-LAND,JIT,2017,272,STRONG,BENCHMARKED
ERA5-LAND,JIT,2018,284,STRONG,BENCHMARKED
ERA5-LAND,KKM,2014,350,STRONG,BENCHMARKED
ERA5-LAND,KKM,2015,365,STRONG,BENCHMARKED
ERA5-LAND,KKM,2016,366,STRONG,BENCHMARKED
ERA5-LAND,KNP,2016,366,STRONG,BENCHMARKED
ERA5-LAND,KNP,2017,296,STRONG,BENCHMARKED
ERA5-LAND,KNP,2018,365,STRONG,BENCHMARKED
ERA5-LAND,NIT,2016,160,STRONG,BENCHMARKED
ERA5-LAND,NIT,2017,226,STRONG,BENCHMARKED
ERA5-LAND,NIT,2018,313,STRONG,BENCHMARKED
ERA5-LAND,SFT,2014,365,STRONG,BENCHMARKED
ERA5-LAND,SFT,2015,365,STRONG,BENCHMARKED
ERA5-LAND,SFT,2016,91,STRONG,BENCHMARKED
ERA5-LAND,SIT,2016,10,ADEQUATE,BENCHMARKED
ERA5-LAND,SIT,2017,222,STRONG,BENCHMARKED
ERA5-LAND,SIT,2018,313,STRONG,BENCHMARKED
ERA5-LAND,UIT,2016,366,STRONG,BENCHMARKED
ERA5-LAND,UIT,2017,365,STRONG,BENCHMARKED
FLDAS,BFT,2016,12,ADEQUATE,BENCHMARKED
FLDAS,BFT,2017,5,LIMITED,BENCHMARKED
FLDAS,BFT,2018,10,ADEQUATE,BENCHMARKED
FLDAS,BIT,2016,7,LIMITED,BENCHMARKED
FLDAS,BIT,2017,10,ADEQUATE,BENCHMARKED
FLDAS,BKC,2014,6,LIMITED,BENCHMARKED
FLDAS,BKC,2015,10,ADEQUATE,BENCHMARKED
FLDAS,BKC,2016,3,INSUFFICIENT,BENCHMARKED
FLDAS,DIT,2016,12,ADEQUATE,BENCHMARKED
FLDAS,DIT,2017,12,ADEQUATE,BENCHMARKED
FLDAS,JIT,2016,6,LIMITED,BENCHMARKED
FLDAS,JIT,2017,8,LIMITED,BENCHMARKED
FLDAS,JIT,2018,10,ADEQUATE,BENCHMARKED
FLDAS,KKM,2014,11,ADEQUATE,BENCHMARKED
FLDAS,KKM,2015,12,ADEQUATE,BENCHMARKED
FLDAS,KKM,2016,12,ADEQUATE,BENCHMARKED
FLDAS,KNP,2016,12,ADEQUATE,BENCHMARKED
FLDAS,KNP,2017,10,ADEQUATE,BENCHMARKED
FLDAS,KNP,2018,12,ADEQUATE,BENCHMARKED
FLDAS,NIT,2016,5,LIMITED,BENCHMARKED
FLDAS,NIT,2017,7,LIMITED,BENCHMARKED
FLDAS,NIT,2018,11,ADEQUATE,BENCHMARKED
FLDAS,SFT,2014,12,ADEQUATE,BENCHMARKED
FLDAS,SFT,2015,12,ADEQUATE,BENCHMARKED
FLDAS,SFT,2016,3,INSUFFICIENT,BENCHMARKED
FLDAS,SIT,2017,7,LIMITED,BENCHMARKED
FLDAS,SIT,2018,11,ADEQUATE,BENCHMARKED
FLDAS,UIT,2016,12,ADEQUATE,BENCHMARKED
FLDAS,UIT,2017,12,ADEQUATE,BENCHMARKED
GLDAS,BFT,2016,366,STRONG,BENCHMARKED
GLDAS,BFT,2017,143,STRONG,BENCHMARKED
GLDAS,BFT,2018,298,STRONG,BENCHMARKED
GLDAS,BIT,2016,210,STRONG,BENCHMARKED
GLDAS,BIT,2017,301,STRONG,BENCHMARKED
GLDAS,BKC,2014,204,STRONG,BENCHMARKED
GLDAS,BKC,2015,297,STRONG,BENCHMARKED
GLDAS,BKC,2016,64,STRONG,BENCHMARKED
GLDAS,DIT,2016,366,STRONG,BENCHMARKED
GLDAS,DIT,2017,365,STRONG,BENCHMARKED
GLDAS,JIT,2016,184,STRONG,BENCHMARKED
GLDAS,JIT,2017,272,STRONG,BENCHMARKED
GLDAS,JIT,2018,284,STRONG,BENCHMARKED
GLDAS,KKM,2014,350,STRONG,BENCHMARKED
GLDAS,KKM,2015,365,STRONG,BENCHMARKED
GLDAS,KKM,2016,366,STRONG,BENCHMARKED
GLDAS,KNP,2016,366,STRONG,BENCHMARKED
GLDAS,KNP,2017,296,STRONG,BENCHMARKED
GLDAS,KNP,2018,365,STRONG,BENCHMARKED
GLDAS,NIT,2016,160,STRONG,BENCHMARKED
GLDAS,NIT,2017,226,STRONG,BENCHMARKED
GLDAS,NIT,2018,313,STRONG,BENCHMARKED
GLDAS,SFT,2014,365,STRONG,BENCHMARKED
GLDAS,SFT,2015,365,STRONG,BENCHMARKED
GLDAS,SFT,2016,91,STRONG,BENCHMARKED
GLDAS,SIT,2016,10,ADEQUATE,BENCHMARKED
GLDAS,SIT,2017,222,STRONG,BENCHMARKED
GLDAS,SIT,2018,313,STRONG,BENCHMARKED
GLDAS,UIT,2016,366,STRONG,BENCHMARKED
GLDAS,UIT,2017,365,STRONG,BENCHMARKED
MERRA2,BFT,2016,366,STRONG,BENCHMARKED
