Site,Product,Years,Year_Count,N,N_CATEGORY,N_SUFFICIENT,Start,End,RMSE,MAE,BIAS,ABS_BIAS,CORRELATION,R2,METRIC_SOURCE,QC_STATUS
BFT,ERA5-LAND,"2016,2017,2018",3,807,STRONG,True,2016-01-01,2018-12-31,3.838935060400444,3.064903527558035,-3.038849315841977,3.038849315841977,0.8076528491079927,0.652303124672258,POOLED_RAW_EXTRACTIONS,PRIMARY
BFT,FLDAS,"2016,2017,2018",3,27,ADEQUATE,True,2016-01-01,2018-10-01,3.122393493399965,2.553168693426943,-2.382901206441475,2.382901206441475,0.8088802188099533,0.6542872083820379,POOLED_RAW_EXTRACTIONS,PRIMARY
BFT,GLDAS,"2016,2017,2018",3,807,STRONG,True,2016-01-01,2018-12-31,3.4791741862689824,2.912117159110096,-2.9094837129926936,2.9094837129926936,0.8184918479655631,0.6699289051860824,POOLED_RAW_EXTRACTIONS,PRIMARY
BFT,MERRA2,"2016,2017,2018",3,807,STRONG,True,2016-01-01,2018-12-31,3.604985715151451,3.126059491955707,-3.1045548323038363,3.1045548323038363,0.7983834836958922,0.637416187038389,POOLED_RAW_EXTRACTIONS,PRIMARY
BFT,MOD16A2GF,"2016,2017,2018",3,102,STRONG,True,2016-01-01,2018-12-27,12.144077930932125,7.598480504445577,6.187819701855263,6.187819701855263,0.8311495677560969,0.6908096039811468,POOLED_RAW_EXTRACTIONS,PRIMARY
BFT,PMLV2,"2016,2017,2018",3,102,STRONG,True,2016-01-01,2018-12-27,3.9727799137261703,3.2441871061777543,-3.2183001950517975,3.2183001950517975,0.7030000129703934,0.49420901823637325,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,ERA5-LAND,"2016,2017",2,511,STRONG,True,2016-01-01,2017-12-31,1.1787580626516305,0.937202167874636,-0.48737654165988303,0.48737654165988303,0.5380166495806535,0.28946191522599174,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,FLDAS,"2016,2017",2,17,ADEQUATE,True,2016-01-01,2017-12-01,1.067506344798148,0.8470439656653136,-0.15769980782447438,0.15769980782447438,0.5657862635255951,0.32011409599425417,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,GLDAS,"2016,2017",2,511,STRONG,True,2016-01-01,2017-12-31,1.2381094161784483,0.9973361584067414,0.08623985724797993,0.08623985724797993,0.5207915976560316,0.27122388818912185,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,MERRA2,"2016,2017",2,511,STRONG,True,2016-01-01,2017-12-31,1.3357422032780926,1.0853209014350542,-0.7122871718970547,0.7122871718970547,0.6215254302777359,0.3862938604819247,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,MOD16A2GF,"2016,2017",2,64,STRONG,True,2016-01-01,2017-12-27,11.760391513725633,9.969757052600023,9.969757052600023,9.969757052600023,0.636799066306844,0.4055130508492683,POOLED_RAW_EXTRACTIONS,PRIMARY
BIT,PMLV2,"2016,2017",2,64,STRONG,True,2016-01-01,2017-12-27,1.035956005422548,0.8468665502479423,-0.012899291783012051,0.012899291783012051,0.37905951130145454,0.14368611310809754,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,ERA5-LAND,"2014,2015,2016",3,565,STRONG,True,2014-06-11,2016-03-04,1.2364167902584404,1.0224192581057627,0.9102856714483389,0.9102856714483389,0.7637381553723546,0.5832959699715669,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,FLDAS,"2014,2015,2016",3,19,ADEQUATE,True,2014-07-01,2016-03-01,1.3421810006870452,0.9488106775019862,0.8685385925288046,0.8685385925288046,0.8075180508210746,0.6520854024018676,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,GLDAS,"2014,2015,2016",3,565,STRONG,True,2014-06-11,2016-03-04,0.757812449115373,0.5610801151574362,0.2692962672842316,0.2692962672842316,0.8095816796496278,0.6554224960243126,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,MERRA2,"2014,2015,2016",3,565,STRONG,True,2014-06-11,2016-03-04,1.5188322579550486,1.1155708851794794,0.8584131862641974,0.8584131862641974,0.7893198008303154,0.6230257479828087,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,MOD16A2GF,"2014,2015,2016",3,71,STRONG,True,2014-06-18,2016-02-26,6.103511132308859,3.9670993677794537,3.7071913135704624,3.7071913135704624,0.6309743424600482,0.39812862084289025,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,PMLV2,"2014,2015,2016",3,71,STRONG,True,2014-06-18,2016-02-26,0.810681565547947,0.619607034822649,0.3580243795727475,0.3580243795727475,0.7995813771331548,0.6393303786581523,POOLED_RAW_EXTRACTIONS,PRIMARY
BKC,SSEBOP_V61,"2014,2015,2016",3,17,ADEQUATE,True,2014-07-01,2016-02-01,20.40045710995366,13.829557311265365,-8.520377945295218,8.520377945295218,0.8191021513519279,0.6709283343493566,POOLED_RAW_EXTRACTIONS,PRIMARY
