Site,Product,Years,Year_Count,N,N_CATEGORY,N_SUFFICIENT,Start,End,RMSE,MAE,BIAS,ABS_BIAS,CORRELATION,R2,METRIC_SOURCE
BFT,ERA5-LAND,2016,1,366,STRONG,True,2016-01-01,2016-12-31,3.9084476756260047,3.2550639693229995,-3.223032904831067,3.223032904831067,0.7864978741196847,0.6185789059947835,POOLED_RAW_EXTRACTIONS
BFT,FLDAS,2016,1,12,ADEQUATE,True,2016-01-01,2016-12-01,2.480923524235043,2.099153564770229,-2.054316493106876,2.054316493106876,0.8382796455692486,0.702712764175705,POOLED_RAW_EXTRACTIONS
BFT,GLDAS,2016,1,366,STRONG,True,2016-01-01,2016-12-31,3.34373822676097,2.877883706031776,-2.872077173199142,2.872077173199142,0.8255939671219078,0.6816053985480898,POOLED_RAW_EXTRACTIONS
BFT,MERRA2,2016,1,366,STRONG,True,2016-01-01,2016-12-31,3.5839272604641494,3.109924260518547,-3.086293022558564,3.086293022558564,0.7695150700300495,0.5921534430033519,POOLED_RAW_EXTRACTIONS
BFT,MOD16A2GF,2016,1,46,STRONG,True,2016-01-01,2016-12-26,13.17177895120969,8.924795656628286,7.616370416923274,7.616370416923274,0.7880338078657112,0.6209972823393326,POOLED_RAW_EXTRACTIONS
BFT,PMLV2,2016,1,46,STRONG,True,2016-01-01,2016-12-26,4.203428855651595,3.5289026346638948,-3.479781257863433,3.479781257863433,0.6340606813594847,0.40203294764605396,POOLED_RAW_EXTRACTIONS
BIT,ERA5-LAND,2016,1,210,STRONG,True,2016-01-01,2016-12-31,1.0246728725634888,0.7993922600818556,-0.08390030787363235,0.08390030787363235,0.3686452114637313,0.13589929193513917,POOLED_RAW_EXTRACTIONS
BIT,FLDAS,2016,1,7,LIMITED,False,2016-01-01,2016-12-01,0.4961997604396645,0.4405866466140348,-0.09373057255005258,0.09373057255005258,0.7684336750389857,0.5904903129339215,POOLED_RAW_EXTRACTIONS
BIT,GLDAS,2016,1,210,STRONG,True,2016-01-01,2016-12-31,1.122144213775877,0.9033468670139853,0.19770448149704967,0.19770448149704967,0.2973426540581401,0.08841265392233877,POOLED_RAW_EXTRACTIONS
BIT,MERRA2,2016,1,210,STRONG,True,2016-01-01,2016-12-31,1.2937160885190933,1.0259785303635875,-0.9803211230177244,0.9803211230177244,0.612846079776652,0.37558031749761045,POOLED_RAW_EXTRACTIONS
BIT,MOD16A2GF,2016,1,26,ADEQUATE,True,2016-01-01,2016-12-26,8.508206741517666,7.734856865541223,7.734856865541223,7.734856865541223,0.18561567577192453,0.034453179092268214,POOLED_RAW_EXTRACTIONS
BIT,PMLV2,2016,1,26,ADEQUATE,True,2016-01-01,2016-12-26,0.6923890285229335,0.6106183976632499,0.5308118265348024,0.5308118265348024,0.7855500745967096,0.6170889196988959,POOLED_RAW_EXTRACTIONS
BKC,ERA5-LAND,2016,1,64,STRONG,True,2016-01-01,2016-03-04,0.6834861311549822,0.6440569097867569,0.6435166477936259,0.6435166477936259,0.6326034005398138,0.40018706237453605,POOLED_RAW_EXTRACTIONS
BKC,FLDAS,2016,1,3,INSUFFICIENT,False,2016-01-01,2016-03-01,0.2274504198845545,0.20375476051527072,0.1525156568873537,0.1525156568873537,0.20396199311144445,0.04160049463399291,POOLED_RAW_EXTRACTIONS
BKC,GLDAS,2016,1,64,STRONG,True,2016-01-01,2016-03-04,0.21182060955786386,0.17107034993049225,-0.05724379245950833,0.05724379245950833,0.6043948580271721,0.36529314440968547,POOLED_RAW_EXTRACTIONS
BKC,MERRA2,2016,1,64,STRONG,True,2016-01-01,2016-03-04,0.2848221289292598,0.24545654658510338,-0.23176115068303588,0.23176115068303588,0.8053350717566902,0.6485645778013533,POOLED_RAW_EXTRACTIONS
BKC,MOD16A2GF,2016,1,8,LIMITED,False,2016-01-01,2016-02-26,1.1862303230651527,0.7645172643370164,0.762877876111245,0.762877876111245,-0.175648658468546,0.030852451221799915,POOLED_RAW_EXTRACTIONS
BKC,PMLV2,2016,1,8,LIMITED,False,2016-01-01,2016-02-26,0.379244586481652,0.31675942807320456,0.23014492370696393,0.23014492370696393,0.5729713204231942,0.3282961340274987,POOLED_RAW_EXTRACTIONS
BKC,SSEBOP_V61,"2014,2015,2016",3,17,ADEQUATE,True,2014-07-01,2016-02-01,20.40045710995366,13.829557311265365,-8.520377945295218,8.520377945295218,0.8191021513519279,0.6709283343493566,POOLED_RAW_EXTRACTIONS
DIT,ERA5-LAND,2016,1,366,STRONG,True,2016-01-01,2016-12-31,0.9397425344554834,0.7657116417456553,-0.25560734191067813,0.25560734191067813,0.7628091624243385,0.5818778182785208,POOLED_RAW_EXTRACTIONS
DIT,FLDAS,2016,1,12,ADEQUATE,True,2016-01-01,2016-12-01,1.3797443211616855,1.1090675403500312,-0.9195704332336083,0.9195704332336083,0.8431595165011913,0.7109179702665226,POOLED_RAW_EXTRACTIONS
DIT,GLDAS,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.1269167768103874,0.8235714763093356,0.12653078887189229,0.12653078887189229,0.6932611599654075,0.48061103591658233,POOLED_RAW_EXTRACTIONS
DIT,MERRA2,2016,1,366,STRONG,True,2016-01-01,2016-12-31,0.9619044926929584,0.7987898350147924,-0.40897484412807267,0.40897484412807267,0.8608978852759985,0.7411451688726863,POOLED_RAW_EXTRACTIONS
DIT,MOD16A2GF,2016,1,46,STRONG,True,2016-01-01,2016-12-26,14.997036195124457,11.623532294711739,11.590582043301065,11.590582043301065,0.7110272041885191,0.505559685096142,POOLED_RAW_EXTRACTIONS
DIT,PMLV2,2016,1,46,STRONG,True,2016-01-01,2016-12-26,1.200888749707174,0.9211985946041049,-0.4638557817869297,0.4638557817869297,0.5889502918801283,0.3468624463056883,POOLED_RAW_EXTRACTIONS
JIT,ERA5-LAND,2016,1,184,STRONG,True,2016-06-21,2016-12-21,1.0699552209645005,0.6793696815251167,-0.17894895786195597,0.17894895786195597,0.5170154394881176,0.26730496466909137,POOLED_RAW_EXTRACTIONS
JIT,FLDAS,2016,1,6,LIMITED,False,2016-07-01,2016-12-01,1.8709926974314266,1.3598814062562898,0.23090518678145647,0.23090518678145647,-0.13578473696473353,0.018437494792581874,POOLED_RAW_EXTRACTIONS
JIT,GLDAS,2016,1,184,STRONG,True,2016-06-21,2016-12-21,1.0245615338015197,0.6244804080864531,-0.413880728279061,0.413880728279061,0.4391879463788813,0.19288605224449912,POOLED_RAW_EXTRACTIONS
JIT,MERRA2,2016,1,184,STRONG,True,2016-06-21,2016-12-21,0.9241949941538193,0.589297974216881,0.2989724547771157,0.2989724547771157,0.6451781895652398,0.41625489629068047,POOLED_RAW_EXTRACTIONS
JIT,MOD16A2GF,2016,1,23,ADEQUATE,True,2016-06-25,2016-12-18,0.848490365042777,0.602659548841254,0.2712906030333671,0.2712906030333671,0.6753141333230083,0.4560491786658058,POOLED_RAW_EXTRACTIONS
JIT,PMLV2,2016,1,23,ADEQUATE,True,2016-06-25,2016-12-18,0.6624732480728956,0.5076926072743628,-0.19562557841079456,0.19562557841079456,0.7656334919041933,0.5861946439254084,POOLED_RAW_EXTRACTIONS
JIT,SSEBOP_V61,"2016,2017,2018",3,23,ADEQUATE,True,2016-07-01,2018-09-01,22.686781791665922,18.07032977434783,-9.208994787130436,9.208994787130436,0.45252683881240463,0.20478053984554803,POOLED_RAW_EXTRACTIONS
