Site,Product,Year,N,Start,End,RMSE,MAE,BIAS,CORRELATION,R2,STATUS,SOURCE_LAYER,N_CATEGORY,N_SUFFICIENT,ABS_BIAS,INTERPRETATION
BFT,ERA5-LAND,2016,366,2016-01-01,2016-12-31,3.9084476756260047,3.2550639693229995,-3.223032904831067,0.7864978741196847,0.6185789059947835,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.223032904831067,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,ERA5-LAND,2017,143,2017-01-01,2017-05-23,2.31615927466836,1.7462599315523857,-1.702736965803978,0.5556528972016169,0.3087501421685507,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.702736965803978,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,ERA5-LAND,2018,298,2018-01-01,2018-12-31,4.309720720214313,3.464122697164851,-3.453791840960858,0.8436672071120359,0.7117743563562229,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.453791840960858,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,ERA5-LAND,2016,210,2016-01-01,2016-12-31,1.0246728725634888,0.7993922600818556,-0.0839003078736323,0.3686452114637313,0.1358992919351391,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0839003078736323,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,ERA5-LAND,2017,301,2017-01-01,2017-12-31,1.2752812435494567,1.0333486151719244,-0.7688715884874999,0.6066697442141854,0.3680481785449051,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7688715884874999,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,ERA5-LAND,2014,204,2014-06-11,2014-12-31,1.0488656166437795,0.8726975730384635,0.7688674666253484,0.781186998369029,0.6102531264208134,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7688674666253484,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,ERA5-LAND,2015,297,2015-01-01,2015-12-31,1.4324384773330336,1.2067910225708989,1.0649069889493212,0.7115037030991724,0.5062375195238353,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.0649069889493212,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,ERA5-LAND,2016,64,2016-01-01,2016-03-04,0.6834861311549822,0.6440569097867569,0.6435166477936259,0.6326034005398137,0.4001870623745359,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.6435166477936259,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,ERA5-LAND,2016,366,2016-01-01,2016-12-31,0.9397425344554834,0.7657116417456553,-0.2556073419106781,0.7628091624243385,0.5818778182785208,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2556073419106781,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,ERA5-LAND,2017,365,2017-01-01,2017-12-31,0.9499860764064224,0.7434667237610536,-0.346537464300225,0.6806860606223786,0.4633335131256124,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.346537464300225,ELIGIBLE_FOR_PRIMARY_COMPARISON
